,product_hash,sales_quantity,date_of_sale,requested_delivery_date,unit_price,unit_cost
136135,3b777b775721dfa8d36de2a320a03e53,2.0,2016-10-10T00:00:00,2016-10-10,116.37,188.6
111187,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-20T00:00:00,2016-10-20,116.37,196.8
111306,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-20T00:00:00,2016-10-20,116.37,192.7
111447,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-21T00:00:00,2016-10-21,116.37,192.7
111915,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-25T00:00:00,2016-10-25,117.95,192.7
112020,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-25T00:00:00,2016-10-25,117.95,196.8
111980,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-25T00:00:00,2016-10-25,117.95,188.6
112090,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-26T00:00:00,2016-10-26,118.03,196.8
86707,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-28T00:00:00,2016-10-28,118.08,205.0
86976,3b777b775721dfa8d36de2a320a03e53,1.0,2016-10-31T00:00:00,2016-10-31,118.11,196.8
87338,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-02T00:00:00,2016-11-02,118.14,192.7
87476,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-02T00:00:00,2016-11-02,118.14,188.6
87302,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-02T00:00:00,2016-11-02,118.14,196.8
87327,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-02T00:00:00,2016-11-02,118.14,188.6
87744,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-03T00:00:00,2016-11-03,11.97,22.77
87905,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-04T00:00:00,2016-11-07,118.38,188.6
178548,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-08T00:00:00,2016-11-08,118.47,196.8
178375,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-08T00:00:00,2016-11-08,118.47,205.0
178901,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-09T00:00:00,2016-11-09,118.51,196.8
142832,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-15T00:00:00,2016-11-16,117.09,188.6
143140,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-16T00:00:00,2016-11-16,117.09,205.0
143363,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-17T00:00:00,2016-11-17,117.04,196.8
143599,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-18T00:00:00,2016-11-18,118.73,205.0
143580,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-18T00:00:00,2016-11-18,118.73,205.0
144267,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-22T00:00:00,2016-11-23,118.73,205.0
127300,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-24T00:00:00,2016-11-24,118.74,188.6
127753,3b777b775721dfa8d36de2a320a03e53,3.0,2016-11-28T00:00:00,2016-11-28,118.74,192.7
127710,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-28T00:00:00,2016-11-28,118.74,192.7
127681,3b777b775721dfa8d36de2a320a03e53,1.0,2016-11-28T00:00:00,2016-11-28,118.74,192.7
128048,3b777b775721dfa8d36de2a320a03e53,2.0,2016-11-29T00:00:00,2016-11-29,118.75,188.6
70408,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-05T00:00:00,2016-12-05,118.76,188.6
70401,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-05T00:00:00,2016-12-05,118.76,205.0
70574,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-05T00:00:00,2016-12-05,118.76,196.8
70423,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-05T00:00:00,2016-12-05,118.76,188.6
70966,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-06T00:00:00,2016-12-06,118.78,205.0
70932,3b777b775721dfa8d36de2a320a03e53,4.0,2016-12-06T00:00:00,2016-12-06,118.78,192.7
70912,3b777b775721dfa8d36de2a320a03e53,3.0,2016-12-06T00:00:00,2016-12-06,118.78,188.6
70855,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-06T00:00:00,2016-12-06,118.78,188.6
70786,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-06T00:00:00,2016-12-06,118.78,188.6
71196,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-08T00:00:00,2016-12-08,118.84,188.6
49963,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-12T00:00:00,2016-12-12,118.85,205.0
50250,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-13T00:00:00,2016-12-13,118.85,205.0
50311,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-13T00:00:00,2016-12-13,118.85,192.7
50371,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-13T00:00:00,2016-12-13,118.85,196.8
50439,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-13T00:00:00,2016-12-13,118.85,196.8
50552,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-14T00:00:00,2016-12-14,118.87,196.8
50630,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-15T00:00:00,2016-12-15,118.89,205.0
50823,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-15T00:00:00,2016-12-16,118.89,196.8
51112,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-19T00:00:00,2016-12-19,118.91,205.0
51199,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-20T00:00:00,2016-12-20,118.91,205.0
18100,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-20T00:00:00,2016-12-20,118.91,188.6
18050,3b777b775721dfa8d36de2a320a03e53,4.0,2016-12-20T00:00:00,2016-12-20,118.91,192.7
18214,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-21T00:00:00,2016-12-21,118.91,192.7
18371,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-22T00:00:00,2016-12-22,118.91,188.6
18639,3b777b775721dfa8d36de2a320a03e53,1.0,2016-12-28T00:00:00,2016-12-28,118.91,205.0
18673,3b777b775721dfa8d36de2a320a03e53,2.0,2016-12-28T00:00:00,2017-01-02,118.91,188.6
19032,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-03T00:00:00,2017-01-04,118.91,205.0
19184,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-05T00:00:00,2017-01-05,118.91,196.8
19134,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-04T00:00:00,2017-01-05,118.91,196.8
19336,3b777b775721dfa8d36de2a320a03e53,2.0,2017-01-09T00:00:00,2017-01-09,118.91,188.6
19473,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-10T00:00:00,2017-01-10,118.91,205.0
19423,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-10T00:00:00,2017-01-10,118.91,205.0
229837,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-16T00:00:00,2017-01-16,118.91,197.8
229855,3b777b775721dfa8d36de2a320a03e53,2.0,2017-01-16T00:00:00,2017-01-16,118.91,206.4
229966,3b777b775721dfa8d36de2a320a03e53,2.0,2017-01-17T00:00:00,2017-01-17,118.91,215.0
229977,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-17T00:00:00,2017-01-17,118.91,215.0
230128,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-18T00:00:00,2017-01-18,118.91,202.1
230494,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-23T00:00:00,2017-01-23,118.91,215.0
230520,3b777b775721dfa8d36de2a320a03e53,2.0,2017-01-24T00:00:00,2017-01-24,118.91,215.0
225161,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-26T00:00:00,2017-01-26,118.91,215.0
225186,3b777b775721dfa8d36de2a320a03e53,2.0,2017-01-26T00:00:00,2017-01-27,118.91,197.8
225440,3b777b775721dfa8d36de2a320a03e53,3.0,2017-01-30T00:00:00,2017-01-30,118.91,215.0
225478,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-30T00:00:00,2017-01-30,118.91,202.1
225528,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-30T00:00:00,2017-01-30,118.91,189.2
225582,3b777b775721dfa8d36de2a320a03e53,1.0,2017-01-31T00:00:00,2017-01-31,118.91,215.0
225790,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-01T00:00:00,2017-02-01,118.91,215.0
225936,3b777b775721dfa8d36de2a320a03e53,2.0,2017-02-02T00:00:00,2017-02-02,118.91,202.1
226350,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-06T00:00:00,2017-02-06,118.91,206.4
226561,3b777b775721dfa8d36de2a320a03e53,2.0,2017-02-07T00:00:00,2017-02-07,118.91,215.0
226578,3b777b775721dfa8d36de2a320a03e53,2.0,2017-02-07T00:00:00,2017-02-07,118.91,197.8
226530,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-07T00:00:00,2017-02-07,118.91,206.4
67218,3b777b775721dfa8d36de2a320a03e53,2.0,2017-02-08T00:00:00,2017-02-08,118.91,215.0
67550,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-09T00:00:00,2017-02-09,0.0,215.0
67452,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-09T00:00:00,2017-02-09,0.0,215.0
67683,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-10T00:00:00,2017-02-10,0.0,189.2
67561,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-10T00:00:00,2017-02-10,0.0,215.0
68421,3b777b775721dfa8d36de2a320a03e53,2.0,2017-02-20T00:00:00,2017-02-20,0.0,197.8
68528,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-20T00:00:00,2017-02-20,0.0,206.4
136,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-22T00:00:00,2017-02-22,0.0,202.1
444,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-23T00:00:00,2017-02-23,0.0,197.8
718,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-27T00:00:00,2017-02-27,0.0,215.0
805,3b777b775721dfa8d36de2a320a03e53,1.0,2017-02-28T00:00:00,2017-03-01,0.0,206.4
855,3b777b775721dfa8d36de2a320a03e53,4.0,2017-02-28T00:00:00,2017-03-01,0.0,197.8
